,sentence,difficulty
0,Vous appréciez comme moi ce rituel cordial.,A2
1,"On approche nos verres: ""tchin"", ça fait un joli bruit, et hop!",A2
2,"Mais, pris de remords, le buveur s’interroge: pourquoi cogne-t-on les verres au fait ?",A2
3,pour vérifier qu’ils sont solides ?,A2
4,Mieux aurait valu faire le test avant de servir ce bourbon millésimé.,A2
5,"D’ailleurs, la coutume nous arrive du Moyen Âge, où les verres n’étaient même pas en verre.",A2
6,Il s’agissait de timbales en bois ou en métal.,A2
7,"Au Moyen Âge donc, les mœurs étaient rudes.",A2
8,"On assassinait son voisin et ses cousins pour un oui pour un non, surtout pour un non, d’ailleurs.",A2
9,"Le plus discret était ""le coup de l’apéro"" : on invitait la victime à boire une p’tite eau-de-vie qu’vous m’en direz des nouvelles, on versait dans sa timbale un soupçon d’arsenic (ou tout autre élixir équivalent), et le tour était joué – ou plutôt: le fâcheux était occis.",A2
10,"Heureusement, les preux chevaliers, et même les pas preux, ont fini par trouver une parade pour éviter l’empoisonnement.",A2
11,"Quand vous invitiez quelqu’un à boire un coup, votre ""ami"" vous versait une lichette du contenu de son propre verre dans le vôtre.",A2
12,"Ainsi, si votre belle-sœur avait décidé de vous expédier dans l’autre monde, la méchante se retrouvait elle aussi du voyage.",A2
13,"Le geste a traversé les siècles, relativement intact.",A2
14,"Aujourd’hui on entrechoque encore chaleureusement les verres, sans toutefois échanger les liquides.",A2
15,On voit par là que la confiance règne.,A2
16,"Jusqu’à preuve du contraire...
Aujourd’hui, je vais te présenter ma famille.",A2
17,"Je m’appelle Laurent et j’habite à Paris avec mes parents, ma sœur ainée et mon frère.",A2
18,Je vais à l’école pendant la journée.,A2
19,"Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents.",A2
20,Mon grand-père nous adore et nous offre de nombreux cadeaux.,A2
21,Ma tante Marcelline habite près de chez eux.,A2
22,"Parfois, ma grand-mère Marie l’invite à la maison pour le déjeuner.",A2
23,Elle vient avec son mari et mes cousins Lionel et Marcel.,A2
24,Nous passons de bons moments à jouer ensemble dans le jardin.,A2
25,Elle joue du violon comme un grand artiste.,A2
26,Mon frère Patrice est plus jeune que moi.,A2
27,Il va à l’école des petits.,A2
28,"Chaque soir, j’accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy.",A2
29,Mon deuxième oncle Louis dit qu’il a des neveux adorables.,A2
30,Ils ont deux enfants : un fils qui s’appelle André et une fille qui est très gentille.,A2
31,J’aime beaucoup toute ma famille.,A2
32,Je viens d’emménager dans ma nouvelle maison.,A2
33,Elle est plus jolie que celle que j’avais avant.,A2
34,Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.,A2
35,J’ai un garage pour ma voiture et pour mon vélo.,A2
36,"A l’intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",A2
37,Mon chat adore se blottir sur le canapé devant la télévision.,A2
38,La cuisine est la pièce préférée de ma maison.,A2
39,C’est ici que je cuisine des gâteaux et des pâtisseries.,A2
40,"Pour aller dans ma chambre, je dois monter un escalier.",A2
41,"Elle se situe au bout du couloir, à droite.",A2
42,J’ai décidé de peindre les murs en jaune et d’y installer mon piano.,A2
43,"A gauche, c’est ma salle de bain, avec vue sur mon jardin.",A2
44,Je me sens très bien dans ma nouvelle maison !,A2
45,"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs.",A2
46,"Ensuite, elle prend sa douche et se prépare pour filer en dix minutes vers la gare.",A2
47,"Le train qui l'emmène en ville est souvent bondé, les gens font grise mine durant le trajet de quinze minutes en consultant leurs smartphones, les écouteurs vissés aux oreilles alors que nous approchons de l'arrivée.",A2
48,Il faut alors prendre le métro durant vingt minutes avant d'arriver devant l'école.,A2
49,De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses.,A2
50,"L'après-midi, Alice va nager à la piscine.",A2
51,"Le soir venu, il faut rentrer en prenant le même chemin que le matin.",A2
52,"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",A2
