id,sentence,difficulty
1,Vous ne pouvez pas savoir le plaisir que j'ai de recevoir cette bonne nouvelle.,B1
2,"Et, paradoxalement, boire froid n'est pas la bonne parade.",B1
3,"Ce n'est pas étonnant, car c'est une saison mystérieuse",B1
12,"Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain.",B2
16,"En tombant, certains arbres ont écrasé des structures, ont écrasé d'autres arbres",B1
24,"Quand l'ange apparaît la deuxième fois, que conseille-t-il au pêcheur ?",B1
29,Tu retireras ton chapeau en feutre et tes gants en cuire et tu t'assiéras en silence.,B2
33,Mais le monde ne fonctionne pas toujours ainsi.,B1
37,Les journalistes ont voulu savoir s'ils pouvaient le rencontrer.,B1
40,"On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire.",B1
41,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche. Avec la chaleur estivale, cette journée d'exploration se révèle très fatigante !",B2
46,Ils se laissèrent glisser par terre et partirent en trombe vers le salon.,B2
52,"Finalement, Halloween aura mis une vingtaine d'années pour s'imposer et trouver sa place dans la société française",B2
57,Les plans de rigueur se succèdent dans de nombreux pays pour remédier aux déficits mais le revers de la médaille est que cela entraîne un mécontentement général et que les gens votent de plus en plus pour des partis nationalistes proposant la sortie de l'euro.,B2
58,"Dans un futur proche, la capacité de ces supports à transporter sous forme numérique des données d'un point à un autre va encore augmenter, entre autres grâce au développement des fibres optiques et des systèmes satellitaires.",B2
59,Il souhaite faire fortune mais il n'en prend pas le chemin.,B1
60,Aujourd'hui le greffe électronique est à la disposition des entrepreneurs.,B2
65,Les français sont attachés à leur pause dominicale.,B2
66,Les canards eurent là une belle occasion de pondre des oeufs de toute couleur.,B2
71,"Le numéro un mondial a facilement remporté la finale, en seulement trois manches et à peine deux heures de jeu.",B2
72,Les femmes scientifiques peinent à être reconnues socialement.,B2
78,"Ils ne trouvent pas qui c'est, alors ils nous font tous payer, c'est dégueulasse !",B1
79,"Si ce détestable virus a eu quelques effets bénéfiques, ce fut en prison.",B2
83,L'Esprit de l'hiver décide de punir les arbres qui n'ont pas apporter de l'aide à l'oiseau.,B1
86,J'ai eu une réunion hier où nous avons pris plusieurs décisions avec notre partenaire brésilien,B1
87,Ce qui entraîne donc une capacité à apprendre les langues étrangères,B2
89,Cet homme n'hésitera pas à accueillir les hôtes qui se présentent chez lui au risque de perdre la vie.,B1
98,"Ils viennent dans une salle de spectacle, avec des rideaux qui s'ouvrent, avec des couleurs, avec une mise en scène, avec des bulles, avec des flammes, avec de la fumée.",B1
106,D'autres sont plus critiques.,B1
110,La prise en compte de ces exigences nécessitera de construire de nouvelles infrastructures.,B2
113,Ces avantages en font une solution technique séduisante ; il trouve une large gamme d'applications dans tous les domaines des transports.,B2
115,Le ciel est également scruté mais pour des raisons ici scientifiques.,B2
121,"En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade.",B1
122,"L'après-midi je me promène aux Tuileries, paradis de verdure au coeur de la capitale",B1
132,"Les terrains conflictuels existent, mais l'aventure est d'autant plus exaltante.",B2
138,Je n'ai eu aucune nouvelle de lui depuis son départ.,B1
149,"On n'est pas très fiers parce que de temps en temps, quand elles se bagarrent, on[ne] veut pas dire que Patricia se bagarre avec Agnès ou avec Valérie ou Michèle ou Aude ! [Elle rit]",B1
150,"Emus, les journalistes ont suggéré l'idée de célébrer les mères en Egypte, puis la fête s'est propagée vers d'autres pays arabes.",B2
151,Au rythme d'une vingtaine de terrains de football par minute.,B2
155,"Laissez-moi vous dire d'abord que beaucoup de gens parlaient français ; n'oubliez pas que le français s'est imposé comme langue de l'administration au XVIe siècle, au traité de Villers-Cotteret.",B1
162,"La plupart du temps vous êtes à la maison, donc les suites des interventions sont beaucoup plus faciles",B1
163,Le maréchal-ferrant et le cocher ont dû se reconvertir.,B2
167,S'impliqueront-ils dans la vie sociale du collège?,B1
168,"À Paris, première ville touristique au monde, sur le parvis de Notre-Darne, la file des touristes s'allonge alors qu'un seul guichet est ouvert",B2
169,Nous avons remarqué quelques irrégularités dans la procédure.,B2
174,Bons baisers de la Réunion où nous passons quelques jours de vacances.,B1
177,"Les militaires y saluent le Président de la République, son gouvernement, les principales autorités de l'État, le corps diplomatique ainsi que des personnalités politiques étrangères invitées pour l'occasion",B2
178,"En 1999, il m'a proposé de devenir chef du service politique.",B1
